OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,FRPMcount,FRPMpct,DistrctAreaSqMi,Shape__Area,Shape__Length,Longitude,Latitutde,cds_code,recode_vaccine_mandates
311,2020-21,642450,1965110,1.97E+13,Los Angeles,Whittier City Elementary,Elementary,KG,8,KG,8,,"32,38","22,32","57,58","21 - Suburban, Large",,5836,0,5836,59,1,10,0.2,44,0.8,24,0.4,5317,91.1,3,0.1,188,3.2,47,0.8,144,2.5,774,13.3,38,0.7,496,8.5,0,0,872,14.9,4331,74.2,4283,73.4,14.86250184,56150647.19,41570.55404,-118.0373767,34.00162554,1.97E+13,"[""No independent mandates""]"
318,2020-21,641280,1973460,1.97E+13,Los Angeles,Walnut Valley Unified,Unified,KG,12,KG,12,,39,29,55,"21 - Suburban, Large",,13493,0,13493,195,1.4,6,0,8103,60.1,785,5.8,3053,22.6,60,0.4,759,5.6,521,3.9,11,0.1,1707,12.7,28,0.2,39,0.3,0,0,1065,7.9,3220,23.9,3116,23.1,21.90942339,82762974.41,59457.44579,-117.8343128,33.99591515,1.97E+13,"["" No comment""]"
331,2020-21,600068,2075580,2.08E+13,Madera,Golden Valley Unified,Unified,KG,12,KG,12,,"04,16","08,12",5,"31 - Town, Fringe",,2089,0,2089,29,1.4,21,1,78,3.7,7,0.3,970,46.4,1,0,922,44.1,53,2.5,8,0.4,136,6.5,27,1.3,8,0.4,0,0,246,11.8,888,42.5,871,41.7,84.05159127,341299130,96481.90446,-119.8531371,36.92748528,2.08E+13,"[""No independent mandates""]"
334,2020-21,605520,2165300,2.17E+13,Marin,Bolinas-Stinson Union,Elementary,KG,8,KG,8,,2,2,10,"42 - Rural, Distant",,84,0,84,2,2.4,1,1.2,0,0,0,0,20,23.8,0,0,51,60.7,4,4.8,6,7.1,10,11.9,0,0,0,0,0,0,8,9.5,32,38.1,32,38.1,38.37452414,160065847.2,79279.54512,-122.7064881,37.94135208,2.17E+13,"["" Indepedent staff mandate without testing option"","" Independent student mandate""]"
353,2020-21,602730,2365540,2.37E+13,Mendocino,Anderson Valley Unified,Unified,KG,12,KG,12,,2,2,2,"43 - Rural, Remote",SY 2019-20 Boundary Adjustment/Correction,434,0,434,3,0.7,2,0.5,0,0,0,0,351,80.9,0,0,75,17.3,3,0.7,0,0,160,36.9,0,0,30,6.9,108,24.9,49,11.3,350,80.6,334,77,351.9950493,1511205563,265749.8094,-123.3630579,38.99016008,2.37E+13,"[""No independent mandates""]"
367,2020-21,612150,2465680,2.47E+13,Merced,El Nido Elementary,Elementary,PK,8,KG,8,,16,12,21,"42 - Rural, Distant",SY 2019-20 Boundary Adjustment/Correction,157,0,157,0,0,1,0.6,2,1.3,0,0,139,88.5,0,0,14,8.9,1,0.6,0,0,105,66.9,1,0.6,0,0,16,10.2,12,7.6,146,93,146,93,74.50947446,304198800.3,79457.69551,-120.5018485,37.13551344,2.47E+13,"["" Considering mandates""]"
370,2020-21,621270,2465730,2.47E+13,Merced,Le Grand Union High,High,9,12,9,12,,16,12,21,"42 - Rural, Distant",SY 2019-20 Boundary Adjustment/Correction,514,0,514,2,0.4,1,0.2,0,0,1,0.2,483,94,0,0,23,4.5,1,0.2,3,0.6,114,22.2,1,0.2,1,0.2,18,3.5,44,8.6,460,89.5,458,89.1,176.5357425,722629526.9,137378.6879,-120.2598785,37.23502243,2.47E+13,"[""No independent mandates""]"
380,2020-21,642960,2465870,2.47E+13,Merced,Winton,Elementary,KG,8,KG,8,,16,12,21,"22 - Suburban, Midsize",SY 2017-18 Boundary Adjustment/Correction,1944,0,1944,14,0.7,7,0.4,85,4.4,0,0,1701,87.5,0,0,134,6.9,3,0.2,0,0,1092,56.2,12,0.6,113,5.8,27,1.4,196,10.1,1781,91.6,1762,90.6,6.720741629,27633490.11,27551.4026,-120.6173886,37.40401364,2.47E+13,"[""No independent mandates""]"
396,2020-21,619680,2766050,2.77E+13,Monterey,King City Union,Elementary,PK,8,KG,8,,20,"12,17",30,"33 - Town, Remote",SY 2019-20 Boundary Adjustment/Correction,2555,0,2555,3,0.1,3,0.1,22,0.9,16,0.6,2411,94.4,0,0,83,3.2,11,0.4,6,0.2,1353,53,2,0.1,383,15,122,4.8,414,16.2,2291,89.7,2244,87.8,239.519793,955561315.8,232444.8676,-121.1192007,36.23957046,2.77E+13,"["" Other partial mandates""]"
411,2020-21,600031,2775150,2.78E+13,Monterey,Big Sur Unified,Unified,KG,12,KG,12,,20,17,30,"43 - Rural, Remote",SY 2019-20 Boundary Adjustment/Correction,103,94,9,0,0,0,0,1,1,1,1,26,25.2,0,0,52,50.5,18,17.5,5,4.9,6,5.8,1,1,0,0,0,0,7,6.8,24,23.3,24,23.3,124.7481494,494167199.6,166126.0461,-121.4517719,35.95874941,2.78E+13,couldn't be reached
412,2020-21,637050,2775440,2.78E+13,Monterey,Soledad Unified,Unified,PK,12,KG,12,,20,"12,17",30,"32 - Town, Distant",SY 2019-20 Boundary Adjustment/Correction,4911,0,4911,22,0.4,3,0.1,49,1,51,1,4660,94.9,4,0.1,105,2.1,17,0.3,0,0,1511,30.8,5,0.1,181,3.7,98,2,718,14.6,4521,92.1,4450,90.6,117.147417,469310758,168274.7588,-121.3283154,36.40335232,2.78E+13,"[""No independent mandates""]"
418,2020-21,637830,2866290,2.87E+13,Napa,Saint Helena Unified,Unified,KG,12,KG,12,,5,3,4,"31 - Town, Fringe",SY 2011-12 Boundary Adjustment/Correction,1187,0,1187,5,0.4,4,0.3,13,1.1,2,0.2,629,53,0,0,519,43.7,15,1.3,0,0,231,19.5,0,0,10,0.8,20,1.7,116,9.8,532,44.8,470,39.6,313.5823821,1331787668,397901.0141,-122.3277446,38.60101671,2.87E+13,"[""No independent mandates""]"
